Nome,URL,Stars,Framework,Descricao
Elian-beep/code-scratch-back,https://github.com/Elian-beep/code-scratch-back.git,1,Backend Detectado (express),"API Rest de configuração e comunicação para a aplicação Code Scratch que possui o intuito de disponibilizar uma plataforma de video aulas sobre o projeto Computação para Mulheres na Escola da Universidade do Estado do Amazonas."
davsilvam/ao-mosso-ufc-api,https://github.com/davsilvam/ao-mosso-ufc-api.git,1,Backend Detectado (fastify),"🍽️ Uma API que fornece as refeições ofertadas pelos Restaurantes Universitários da Universidade Federal do Ceará."
Luco97/stock-gql,https://github.com/Luco97/stock-gql.git,1,Backend Detectado (express),"API basica tipica que piden en las universidades usando graphql"
guilhermeaugvieira/MarvelBD2,https://github.com/guilhermeaugvieira/MarvelBD2.git,1,Backend Detectado (express),"Projeto desenvolvido para a disciplina de BD2 - Universidade Federal de Itajubá"
denisquintasluiz/Fiscalizacao-aluno-ustp,https://github.com/denisquintasluiz/Fiscalizacao-aluno-ustp.git,1,Backend Detectado (express),"Webservice que fornece serviço de fiscalização da situação escolar de todos os alunos da universidade de USTP através do código escolar do aluno. Desenvolvido com TypeScript e NodeJS  ExpessJS."
mwenyo/mb-eventos,https://github.com/mwenyo/mb-eventos.git,1,Backend Detectado (express),"O projeto consiste em uma aplicação para criação e gerenciamento de eventos empresariais e educacionais. A demanda pela aplicação se dá pela necessidade de fazer controle de compra de ingressos para os eventos criados por empresas e universidades."
mateusxxlima/fisio-backend,https://github.com/mateusxxlima/fisio-backend.git,1,Backend Detectado (express),"Web application for a physiotherapy and pilates clinic  implemented in ReactJS like front-end  NodeJS like back-end and PostgreSQL like relational database  project implemented in a set of three disciplines: Software Engineering  Programming 2 and Database 1 of the Computer Science course at the Universidade Federal da Fronteira Sul."
GustavoSantosCS/command-backend,https://github.com/GustavoSantosCS/command-backend.git,1,Backend Detectado (express),"Projeto backend construído durante o 8° Semestre do Curso de Engenharia de Software| Universidade do Estado de Santa Catarina"
diegoarmandoo/ecommerce-node-api,https://github.com/diegoarmandoo/ecommerce-node-api.git,9,Backend Detectado (express),"[Software Development] Repositório de um projeto acadêmico para prática de desenvolvimento de software  mais especificamente a aplicação do paradigma orientado objeto (POO)  modelagem de domínios ricos  aplicações WEB e APIs  integração com BDs  testes automatizados  princípios e padrões de arquitetura e projetos e boas práticas de desenvolvimento."
Sans-arch/gamehub-backend,https://github.com/Sans-arch/gamehub-backend.git,1,Backend Detectado (express),"Repositório do back-end do projeto acadêmico GameHub"
Jao-Rocha/onebitflix,https://github.com/Jao-Rocha/onebitflix.git,1,Backend Detectado (express),"Projeto academico desenvolvido com a Onebitcode"
Vimlm/sistema-academico,https://github.com/Vimlm/sistema-academico.git,2,Backend Detectado (express),""
santialvarez0207/WorldLO,https://github.com/santialvarez0207/WorldLO.git,4,Backend Detectado (express),"pagina web con fines académicos  generando un entorno educativo"
ProgramacionISFDyT57/avance-academico,https://github.com/ProgramacionISFDyT57/avance-academico.git,3,Backend Detectado (express),"Proyecto NodeJS"
