Repo,URL,File,Line,Type,Description
"Itor-Carlos/projeto-es2-backend","https://github.com/Itor-Carlos/projeto-es2-backend.git","server.js",22,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"oSLaYN/Hadoop-Supabase-Nuvem","https://github.com/oSLaYN/Hadoop-Supabase-Nuvem.git","hadoop.js",214,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"043vinicius/up-api","https://github.com/043vinicius/up-api.git","index.js",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"043vinicius/up-api","https://github.com/043vinicius/up-api.git","database/connection.js",6,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"joaoplay16/brazil-universities-api","https://github.com/joaoplay16/brazil-universities-api.git","index.js",14,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"yTrosky/PetDetective","https://github.com/yTrosky/PetDetective.git","index.js",21,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"yTrosky/PetDetective","https://github.com/yTrosky/PetDetective.git","public/tinymce/plugins/preview/plugin.min.js",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"josimarMorais/UNIPONT","https://github.com/josimarMorais/UNIPONT.git","app.js",42,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"efsantoss/ProjetoIV-BackEnd","https://github.com/efsantoss/ProjetoIV-BackEnd.git","src/user/domain/exception/UserErrorCodes.js",3,"HARDCODED_SECRET","Potential hardcoded secret in property: SIGN_IN_WITH_EMAIL_AND_PASSWORD_ERROR_CODE"
"efsantoss/ProjetoIV-BackEnd","https://github.com/efsantoss/ProjetoIV-BackEnd.git","src/user/domain/exception/UserErrorCodes.js",4,"HARDCODED_SECRET","Potential hardcoded secret in property: CREATE_USER_WITH_EMAIL_AND_PASSWORD_ERROR_CODE"
"lucileny6/projetoAcelera","https://github.com/lucileny6/projetoAcelera.git","src/app.js",13,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"PedroRomaoDev/fintrack-api","https://github.com/PedroRomaoDev/fintrack-api.git","src/app.js",10,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"juanma0822/PRAE-BACKEND","https://github.com/juanma0822/PRAE-BACKEND.git","src/index.js",33,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"juanma0822/PRAE-BACKEND","https://github.com/juanma0822/PRAE-BACKEND.git","src/controllers/login.controller.js",30,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"juanma0822/PRAE-BACKEND","https://github.com/juanma0822/PRAE-BACKEND.git","src/controllers/login.controller.js",31,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"juanma0822/PRAE-BACKEND","https://github.com/juanma0822/PRAE-BACKEND.git","src/controllers/login.controller.js",32,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"ismaelalvesgit/node_api_ecommerce","https://github.com/ismaelalvesgit/node_api_ecommerce.git","config/server.js",20,"HARDCODED_SECRET","Potential hardcoded secret in property: apiKey"
"ismaelalvesgit/node_api_ecommerce","https://github.com/ismaelalvesgit/node_api_ecommerce.git","config/server.js",43,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"ismaelalvesgit/node_api_ecommerce","https://github.com/ismaelalvesgit/node_api_ecommerce.git","config/mail.js",20,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"victormattos/projeto-restaurante-backend","https://github.com/victormattos/projeto-restaurante-backend.git","teste-api.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"victormattos/projeto-restaurante-backend","https://github.com/victormattos/projeto-restaurante-backend.git","server.js",10,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"GustavoTF25/IndieShowcase-api","https://github.com/GustavoTF25/IndieShowcase-api.git","app.js",23,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"igorcarmona-git/api-igor","https://github.com/igorcarmona-git/api-igor.git","src/server.js",37,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Gnune2/semDP","https://github.com/Gnune2/semDP.git","src/server.js",16,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"LucaCordella/serenita","https://github.com/LucaCordella/serenita.git","src/server.js",30,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror","https://github.com/LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror.git","src/js/server.js",33,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror","https://github.com/LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror.git","src/js/server.js",488,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror","https://github.com/LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror.git","src/js/server.js",507,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror","https://github.com/LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror.git","src/js/server.js",526,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror","https://github.com/LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror.git","src/js/seguranca.js",10,"HARDCODED_SECRET","Potential hardcoded secret in property: SECRET_KEY"
"JhoelDiego2/Shadow-Slave-Projeto","https://github.com/JhoelDiego2/Shadow-Slave-Projeto.git","app.js",27,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"JucaLucas/Regionalizando","https://github.com/JucaLucas/Regionalizando.git","app.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"PedroSales077/Trabalho-fim-de-semestre","https://github.com/PedroSales077/Trabalho-fim-de-semestre.git","app.js",29,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"PedroSales077/Trabalho-fim-de-semestre","https://github.com/PedroSales077/Trabalho-fim-de-semestre.git","src/database/config.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"CatarinaGimenes/Pinguinando","https://github.com/CatarinaGimenes/Pinguinando.git","app.js",25,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Murilo10901/SiteRoupaAPI","https://github.com/Murilo10901/SiteRoupaAPI.git","server.js",14,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Murilo10901/SiteRoupaAPI","https://github.com/Murilo10901/SiteRoupaAPI.git","server-roupas.js",14,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Murilo10901/SiteRoupaAPI","https://github.com/Murilo10901/SiteRoupaAPI.git","server-funcionario.js",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
