Repo,URL,File,Line,Type,Description
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",245,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",283,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",304,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",320,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",338,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",380,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",401,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"luissimas/pooa-grupos-academicos","https://github.com/luissimas/pooa-grupos-academicos.git","src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts",419,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Hyagobsantos/Api-LojaStarWars","https://github.com/Hyagobsantos/Api-LojaStarWars.git","src/auth/jwt.constants.ts",2,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"NessKawl/API_driveparts","https://github.com/NessKawl/API_driveparts.git","src/main.ts",7,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"NessKawl/API_driveparts","https://github.com/NessKawl/API_driveparts.git","src/auth/strategies/local.strategy.ts",11,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField"
"GabrielMartinsDoliveira/Residencia_PD_25.2_backend","https://github.com/GabrielMartinsDoliveira/Residencia_PD_25.2_backend.git","src/data-source.ts",14,"DB_AUTO_SYNC","Database synchronization enabled (Risk of data loss)"
"GabrielMartinsDoliveira/Residencia_PD_25.2_backend","https://github.com/GabrielMartinsDoliveira/Residencia_PD_25.2_backend.git","src/app.ts",18,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End","https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git","test/app.e2e-spec.ts",195,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End","https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git","test/app.e2e-spec.ts",243,"HARDCODED_SECRET","Potential hardcoded secret in property: newPassword"
"GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End","https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git","test/app.e2e-spec.ts",266,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End","https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git","test/app.e2e-spec.ts",508,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End","https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git","test/app.e2e-spec.ts",554,"HARDCODED_SECRET","Potential hardcoded secret in property: newPassword"
"GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End","https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git","test/app.e2e-spec.ts",563,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End","https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git","test/app.e2e-spec.ts",572,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"qeitiof/securecel","https://github.com/qeitiof/securecel.git","src/app.ts",50,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"CarlosNiz/atividade-faculdade-backend","https://github.com/CarlosNiz/atividade-faculdade-backend.git","src/main.ts",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"diname/tech-challenge-fiap","https://github.com/diname/tech-challenge-fiap.git","src/main.ts",14,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'"
"diname/tech-challenge-fiap","https://github.com/diname/tech-challenge-fiap.git","src/shared/utils/initializers/cors.initializer.ts",4,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
