Repo,File,Line,Type,Description,Status,ReviewerNote
"alvarosp/2024_PlantillaTFG","app.js",25,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","NAO_SE_APLICA","Manual audit done"
"miquelbarcelo77/tfg","index.js",41,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","NAO_SE_APLICA","Manual audit done"
"miquelbarcelo77/tfg","public/js/build.js",577,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"miquelbarcelo77/tfg","public/js/aframe.min.js",2,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"miquelbarcelo77/tfg","public/js/aframe.min - copia.js",1,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"Leohgb/UpTeses","app.js",35,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","NAO_SE_APLICA","Manual audit done"
"Leohgb/UpTeses","config/auth.js",12,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField","NAO_SE_APLICA","Manual audit done"
"edcan-dev/bolsa-de-trabajo-cgtie","src/api/routes/api.routes.js",5,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"yelabb/teserver","index.js",23,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"PI-3-grupo001-UNIVESP/univesp-pi","src/server.js",14,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"PI-3-grupo001-UNIVESP/univesp-pi","protecao-animal/backend/server.js",18,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"Leocm123/safe-rain","server/server.js",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","INCORRETO","Manual audit done"
