Repo,URL,File,Line,Type,Description
NessKawl/API_driveparts,https://github.com/NessKawl/API_driveparts.git,src/auth/strategies/local.strategy.ts,11,HARDCODED_SECRET,Potential hardcoded secret in property: passwordField
GabrielMartinsDoliveira/Residencia_PD_25.2_backend,https://github.com/GabrielMartinsDoliveira/Residencia_PD_25.2_backend.git,src/data-source.ts,14,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
GabrielMartinsDoliveira/Residencia_PD_25.2_backend,https://github.com/GabrielMartinsDoliveira/Residencia_PD_25.2_backend.git,src/app.ts,18,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
qeitiof/securecel,https://github.com/qeitiof/securecel.git,src/app.ts,50,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
CarlosNiz/atividade-faculdade-backend,https://github.com/CarlosNiz/atividade-faculdade-backend.git,src/main.ts,6,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/main.ts,14,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/shared/utils/initializers/cors.initializer.ts,4,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/infrastructure/typeorm/config/postgres.config.service.ts,21,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/domain/services/auth/auth.service.impl.ts,20,HARDCODED_SECRET,Potential hardcoded secret in property: tokenUse
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,src/server.ts,15,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespaceBrowser.ts,87,HARDCODED_SECRET,Potential hardcoded secret in property: password
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespaceBrowser.ts,96,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token
