Nome,URL,Stars,Framework,Descricao
Itor-Carlos/projeto-es2-backend,https://github.com/Itor-Carlos/projeto-es2-backend.git,2,Backend Detectado (express),"Backend da Fazenda de Grãos da matéria "Engenharia de Software 2" da Universidade Federal de Sergipe"
oSLaYN/Hadoop-Supabase-Nuvem,https://github.com/oSLaYN/Hadoop-Supabase-Nuvem.git,1,Backend Detectado (express),"Trabalho Final da Cadeira de Desenvolvimento de Software na Nuvem no Curso de Informática Web  Móvel e na Nuvem da Universidade da Beira Interior"
043vinicius/up-api,https://github.com/043vinicius/up-api.git,1,Backend Detectado (express),"API para projeto MedConnect da Universidade Positivo"
joaoplay16/brazil-universities-api,https://github.com/joaoplay16/brazil-universities-api.git,4,Backend Detectado (express),"Uma API que lista as universidades do Brasil com informações sobre nome  domínios e páginas web."
JoaoOliveira0117/Projeto-Sinoslog-Feevale-Backend,https://github.com/JoaoOliveira0117/Projeto-Sinoslog-Feevale-Backend.git,1,Backend Detectado (express),"Projeto para a atividade de Projeto Computacional para Universidade Feevale"
yTrosky/PetDetective,https://github.com/yTrosky/PetDetective.git,1,Backend Detectado (express),"Projeto desenvolvido para o projeto de extensão da faculdade Universidade Cidade de São Paulo."
Gaaaybe/BTB-backend,https://github.com/Gaaaybe/BTB-backend.git,1,Backend Detectado (express),"O repositório a seguir é dedicado em armazenar a API gerada para um sistema de bilheteria digital no projeto efetuado na Universidade Estadual da Paraíba - Campus VII"
oSLaYN/Projeto-Prog-Servidor,https://github.com/oSLaYN/Projeto-Prog-Servidor.git,1,Backend Detectado (express),"Projeto de Programação no Servidor do Curso Informática Web  Móvel e na Nuvem da Universidade da Beira Interior"
rnlobao/chatgpt-ufop,https://github.com/rnlobao/chatgpt-ufop.git,1,Backend Detectado (express),"Frontend de um chatgpt para informações da Universidade"
josimarMorais/UNIPONT,https://github.com/josimarMorais/UNIPONT.git,1,Backend Detectado (express),"Universidade Pontalina"
efsantoss/ProjetoIV-BackEnd,https://github.com/efsantoss/ProjetoIV-BackEnd.git,1,Backend Detectado (mongoose),"Repositório do Projeto Integrador IV  da Universidade PUC Campinas  na parte de Back End utilizando Java."
moisesnks/example-back-estudiantes-nodejs,https://github.com/moisesnks/example-back-estudiantes-nodejs.git,1,Backend Detectado (express),"Este repositorio contiene el backend del sistema de gestión de calificaciones para escuelas o universidades. Facilita a los profesores registrar y gestionar calificaciones  mientras que los estudiantes pueden visualizar sus resultados. Está desarrollado en Node.js  utilizando Express como framework."
JeffryValle/API-Registro-Academico,https://github.com/JeffryValle/API-Registro-Academico.git,1,Backend Detectado (express),"Gestión de Cursos y Matrículas por medio de una API"
Priscila-Alvesc/Pos-Testes_Software,https://github.com/Priscila-Alvesc/Pos-Testes_Software.git,1,Backend Detectado (express),"Dedicado para fins academicos para temas relacionados a qualidade de software"
lucileny6/projetoAcelera,https://github.com/lucileny6/projetoAcelera.git,1,Backend Detectado (express),"Projeto Academico - Faculdade Fatec-Cruzeiro - Projeto Holograma utilizando Arduino Nano"
